Garfield	4	27	Cula4	The mice that live at Jon's house come out of hiding each night to watch TV. 	Tagann na lucha atá ag fanacht Tigh Jon amach gach oíche chun féachaint ar an teilifís.
Dochreidte Gan Dabht	5	4	Cula4	This is Officially Amazing! Today we will see some extraordinary official world record attempts from around the world like the most eggs cracked with a bullwhip in one minute. Presented by Eoghan Ó Lo	Seo é Dochreidte Gan Dabht, an clár ar a mbeidh na curiarrachtaí is aistí, is iontaí agus is dochreidte dá bhfaca tú riamh. An líon is mó uibheacha a féidir a scoilteadh le tarbhlasc i nóiméad amháin ina measc. Á chur i láthair ag Eoghan Ó Loideáin.
Dochreidte Gan Dabht	5	3	Cula4	This is Officially Amazing! Today we will see some extraordinary official world record attempts from around the world like the fastest time to carry two fridges 20 metres. Presented by Eoghan Ó Loideá	Seo é Dochreidte Gan Dabht, an clár ar a mbeidh na curiarrachtaí is aistí, is iontaí agus is dochreidte dá bhfaca tú riamh. An duine is sciobtha atá in ann dhá chuisneoir a iompar ar feadh 20 méadar ina measc. Á chur i láthair ag Eoghan Ó Loideáin.
Dochreidte Gan Dabht	5	2	Cula4	This is Officially Amazing! Today we will see some extraordinary official world record attempts from around the world. Our competitors competition today is, most jelly fed to another person, with a sp	Seo é Dochreidte Gan Dabht, an clár ar a mbeidh na curiarrachtaí is aistí, is iontaí agus is dochreidte dá bhfaca tú riamh. Féachfaidh iomaitheoirí an lae inniu le glóthach a choinneáil le duine eile le spúnóg lena gcos. Á chur i láthair ag Eoghan Ó Loideáin.
Dochreidte Gan Dabht	3	1	Cula4	This is Officially Amazing! Today we will see some extraordinary official world record attempts from around the world. We meet Franky Zapata who is trying to beat a world record on a fly board! Presen	Seo é Dochreidte Gan Dabht, an clár ar a mbeidh na curiarrachtaí is aistí, is iontaí agus is dochreidte dá bhfaca tú riamh. Buailfimid le Franky Zapata atá ag iarraidh curiarracht a bhaint amach ar bhord eitilte! Á chur i láthair ag Eoghan Ó Loideáin. 
Dochreidte Gan Dabht	4	1	Cula4	This is Officially Amazing! Today we will see some extraordinary official world record attempts from around the world. Chloe Bruce attempts to break a world record for most scorpion kicks in one minut	Seo é Dochreidte Gan Dabht, an clár ar a mbeidh na curiarrachtaí is aistí, is iontaí agus is dochreidte dá bhfaca tú riamh. Féachfaidh Chloe Bruce le curiarracht a bhaint amach leis an líon is mó ciceanna scairpe i nóiméad amháin a dhéanamh. Á chur i láthair ag Eoghan Ó Loideáin.
Ainmhithe Beaga Thart Orainn	2	9	Cula4	Today we take a look at more pet babies to see how they spend their morning.	Caithfimid súil ar mar a chaitheann tuilleadh ainmhithe óga atá ina bpeataí an mhaidin.
Ainmhithe Beaga Thart Orainn	2	8	Cula4	Today we take a look at urban baby animals to see how they spend their afternoon.	Caithfimid súil ar mar a chaitheann ainmhithe óga sa chathair an tráthnóna.
Ainmhithe Beaga Thart Orainn	2	7	Cula4	Today we take a look at urban baby animals to see how they spend their morning.	Caithfimid súil ar mar a chaitheann ainmhithe óga sa chathair an mhaidin.
Ainmhithe Beaga Thart Orainn	2	6	Cula4	Today we take a look at zoo baby animals to see how they spend their afternoon.	Caithfimid súil ar mar a chaitheann ainmhithe óga sa zú an tráthnóna.
Ainmhithe Beaga Thart Orainn	2	5	Cula4	Today we take a look at zoo baby animals to see how they spend their morning.	Caithfimid súil ar mar a chaitheann ainmhithe óga sa zú an mhaidin.
Ainmhithe Beaga Thart Orainn	2	4	Cula4	Today we take a look at farm baby animals to see how they spend their afternoon.	Caithfimid súil ar mar a chaitheann ainmhithe óga feirme an tráthnóna.
Ainmhithe Beaga Thart Orainn	2	3	Cula4	Today we take a look at farm baby animals to see how they spend their morning.	Caithfimid súil ar mar a chaitheann ainmhithe óga feirme an mhaidin.
Ainmhithe Beaga Thart Orainn	2	2	Cula4	Today we take a look at pet baby animals to see how they spend their afternoon.	Caithfimid súil ar mar a chaitheann ainmhithe óga ar peataí iad an tráthnóna.
Ainmhithe Beaga Thart Orainn	2	1	Cula4	Today we take a look at pet baby animals to see how they spend their morning.	Caithfimid súil ar mar a chaitheann ainmhithe óga ar peataí iad an mhaidin.
Ainmhithe Beaga Thart Orainn	2	20	Cula4	Today we take a look at even more zoo babies to see how they spend their afternoon.	Caithfimid súil ar mar a chaitheann tuilleadh ainmhithe óga sa zú an tráthnóna.
Ainmhithe Beaga Thart Orainn	2	19	Cula4	Today we take a look at even more zoo babies to see how they spend their morning.	Caithfimid súil ar mar a chaitheann tuilleadh ainmhithe óga sa zú an mhaidin.
Olivia	1	23	Cula4	It's time for the annual school play, but Olivia's stuck playing the part of 'Cow #2,' while Francine lands the starring role.	Tá sé in am do dhráma bliantúil na scoile ach páirt ‘bó uimhir a dó’ atá ag Olivia bhocht. 
Olivia	1	23	Cula4	It's time for the annual school play, but Olivia's stuck playing the part of 'Cow #2,' while Francine lands the starring role.	Tá sé in am do dhráma bliantúil na scoile ach páirt ‘bó uimhir a dó’ atá ag Olivia bhocht. 
Olivia	1	22	Cula4	Olivia and her family go to the beach where Olivia finds an oyster. 	Téann Olivia agus an teaghlach chuig an trá, áit a n-aimsíonn Olivia oisre. 
Olivia	1	21	Cula4	Olivia decides to have her own children!	Socraíonn Olivia páistí dá cuid féin a bheith aici.
Olivia	1	20	Cula4	Ruadhán’s leg is itching like mad and Doctor Olivia tries to cure it.	Tá tochas aisteach i gcos Ruadháin. Féachann an dochtúir Olivia len é a leigheas.
Olivia	1	19	Cula4	As Mother tries to get baby William to sleep, Olivia, Ian and Julian create a backyard parade.	Tá sé ag cinneadh ar Mhamaí William a chur a chodladh mar go bhfuil Olivia, Cian agus Ruadhán i mbun paráide sa ghairdín.
Olivia	1	18	Cula4	When Father takes an out-of-town business trip, Olivia doesn't want him to miss a thing. 	Níl Olivia ag iarraidh go gcaillfidh Daide dada nuair a bheidh sé as baile agus mar sin déanann sí dialann físe dó.
Olivia	1	17	Cula4	Olivia designs some fabulous clothes and is determined to put on her own fashion show. 	Tar éis di a bheith ag seó faisin in éineacht le Mamó, seó nach raibh cuma ná caoi air, socraíonn Olivia a seó faisin féin a chur i láthair.
Olivia	1	16	Cula4	The class bullfrog is loose, and Mrs. Hogenmuller leaves Olivia in charge as she  goes to track it down. 	Téann frog an ranga ar iarraidh agus fágann an múinteoir Olivia i gceannas ar an rang fad is a bhíonn sí á chuardach.
Olivia	1	15	Cula4	After Olivia teases Ian for being too short for a ride, Father mentions that some day Ian may be the taller sibling.	Tá Olivia ag magadh faoi Chian mar go bhfuil sé beag.
Olivia	1	14	Cula4	Olivia is thrilled to be invited to Francine's for dinner, until she learns that she must reciprocate with an invitation.	Tugann Fraincín cuireadh d'Olivia chuig dinnéar sa teach. 
Olivia	1	13	Cula4	Grandma is coming to visit, and Olivia couldn't be more excited. 	Tá Olivia ar bís mar go bhfuil Mamó ag teacht ar cuairt.  
Whiz sa Chistin	1	24	Cula4	Whiz sa Chistin is a game show based around food where each week 4 Children test their skills in the kitchen by completing fun food challenges and answering questions. In today's show Eoin and Sienna 	Seó cluichí é Whiz sa Chistin atá bunaithe ar bhia. Beidh ceathrar leanaí sa chistin ar gach clár agus beidh a fhios againn cé chomh maith is atá said sa chistin nuair a chaithfidh siad tabhairt faoi dhúshlán bia agus ceisteanna go leor a fhreagairt. Ar chlár an lae inniu tabharfaidh Eoin agus Sienna aghaidh ar Abbie agus ar Chian.
Fir Bolg	1	6	Drama	The final gig is approaching and the band are still without their leader. As the big night approaches, they wonder if they can pull it off. Guest Staring Patrick Bergin, Conal Gallen and Phelim Drew.	Tá an gig deiridh ag teannadh leo agus níl an príomhamhránaí ar ais go fóill. Meas tú an éireoidh leo seó ar bith a chur chun stáitse? I measc na n-aisteoirí speisialta sa chlár seo beidh Patrick Bergin, Conal Gallen agus Phelim Drew.
Fir Bolg	1	4	Drama	Scandal haunts the band and their gigs aren't selling. So, their manager secures them a coveted spot on the Late Late in an attempt to turn their fortunes around. Guest starring Amy Huberman, Ryan Tub	Is beag tóir atá ar thicéid do na gigeanna mar gheall ar scannal a tharla blianta ó shin. Éiríonn leis an mbainisteoir áit a fháil dóibh ar an 'The Late Late Show' le súil is go dtiocfaidh athrú air sin.. I measc na n-aisteoirí speisialta sa chlár seo beidh Amy Huberman, Ryan Tubridy, Brendan Grace agus Fiachna Ó Braonáin.
Whiz sa Chistin	1	23	Cula4	Whiz sa Chistin is a game show based around food where each week 4 Children test their skills in the kitchen by completing fun food challenges and answering questions. In today's show Aisling and Pádr	Seó cluichí é Whiz sa Chistin atá bunaithe ar bhia. Beidh ceathrar leanaí sa chistin ar gach clár agus beidh a fhios againn cé chomh maith is atá said sa chistin nuair a chaithfidh siad tabhairt faoi dhúshlán bia agus ceisteanna go leor a fhreagairt. Ar chlár an lae inniu tabharfaidh Aisling agus Pádraig aghaidh ar Shaunagh agus ar Rónán.
Whiz sa Chistin	1	22	Cula4	Whiz sa Chistin is a game show based around food where each week 4 Children test their skills in the kitchen by completing fun food challenges and answering questions. In today's show Aoibhean and Jam	Seó cluichí é Whiz sa Chistin atá bunaithe ar bhia. Beidh ceathrar leanaí sa chistin ar gach clár agus beidh a fhios againn cé chomh maith is atá said sa chistin nuair a chaithfidh siad tabhairt faoi dhúshlán bia agus ceisteanna go leor a fhreagairt. Ar chlár an lae inniu tabharfaidh Aoibhean agus James aghaidh ar Orianna agus ar Chormac.
Whiz sa Chistin	1	21	Cula4	Whiz sa Chistin is a game show based around food where each week 4 Children test their skills in the kitchen by completing fun food challenges and answering questions. In today's show Aoife and Ava co	Seó cluichí é Whiz sa Chistin atá bunaithe ar bhia. Beidh ceathrar leanaí sa chistin ar gach clár agus beidh a fhios againn cé chomh maith is atá said sa chistin nuair a chaithfidh siad tabhairt faoi dhúshlán bia agus ceisteanna go leor a fhreagairt. Ar chlár an lae inniu tabharfaidh Aoife agus Ava aghaidh ar Emily agus ar Lillian.
Whiz sa Chistin	1	20	Cula4	Whiz sa Chistin is a game show based around food where each week 4 Children test their skills in the kitchen by completing fun food challenges and answering questions. In today's show Tobi and Amma co	Seó cluichí é Whiz sa Chistin atá bunaithe ar bhia. Beidh ceathrar leanaí sa chistin ar gach clár agus beidh a fhios againn cé chomh maith is atá said sa chistin nuair a chaithfidh siad tabhairt faoi dhúshlán bia agus ceisteanna go leor a fhreagairt. Ar chlár an lae inniu tabharfaidh Tobi agus Amma aghaidh ar Chaoimhín agus ar Oisín.
Whiz sa Chistin	1	19	Cula4	Whiz sa Chistin is a game show based around food where each week 4 Children test their skills in the kitchen by completing fun food challenges and answering questions. In today's show Beatrice and Blá	Seó cluichí é Whiz sa Chistin atá bunaithe ar bhia. Beidh ceathrar leanaí sa chistin ar gach clár agus beidh a fhios againn cé chomh maith is atá said sa chistin nuair a chaithfidh siad tabhairt faoi dhúshlán bia agus ceisteanna go leor a fhreagairt. Ar chlár an lae inniu tabharfaidh Beatrice agus Bláthnaid aghaidh ar Aimee agus ar Eimear. 
