t-ab	t̪ˠ a bˠ
d'aos	ˈ d̪ˠ iː sˠ
m'aos	ˈ mˠ iː sˠ
t-ár	ˈ t̪ˠ aː ɾˠ
b'ár	ˈ bˠ aː ɾˠ
n-ár	ˈ n̻ˠ aː ɾˠ
d'ár	ˈ d̪ˠ aː ɾˠ
m'ár	ˈ mˠ aː ɾˠ
b'aráin	ˈ bˠ a ɾˠ a nʲ
n-aráin	ˈ n̻ˠ a ɾˠ a nʲ
d'aráin	ˈ d̪ˠ a ɾˠ a nʲ
m'aráin	ˈ mˠ a ɾˠ a nʲ
t-arán	ˈ t̪ˠ a ɾˠ a n̻ˠ
b'arán	ˈ bˠ a ɾˠ a n̻ˠ
n-arán	ˈ n̻ˠ a ɾˠ a n̻ˠ
d'arán	ˈ d̪ˠ a ɾˠ a n̻ˠ
m'arán	ˈ mˠ a ɾˠ a n̻ˠ
b'arbhair	bˠ a ɾˠ ə vˠ ə ɾʲ
n-arbhair	n̻ˠ a ɾˠ ə vˠ ə ɾʲ
d'arbhair	d̪ˠ a ɾˠ ə vˠ ə ɾʲ
m'arbhair	mˠ a ɾˠ ə vˠ ə ɾʲ
t-ar	ˈ t̪ˠ e ɾʲ
b'ar	ˈ bˠ e ɾʲ
n-ar	ˈ n̻ˠ e ɾʲ
d'ar	ˈ d̪ˠ e ɾʲ
m'ar	ˈ mˠ e ɾʲ
b'arm	ˈ bˠ a ɾˠ ə mˠ
d'arm	ˈ d̪ˠ a ɾˠ ə mˠ
m'arm	ˈ mˠ a ɾˠ ə mˠ
t-armáil	ˈ t̪ˠ a ɾˠ ə mˠ a lʲ
b'armáil	ˈ bˠ a ɾˠ ə mˠ a lʲ
n-armáil	ˈ n̻ˠ a ɾˠ ə mˠ a lʲ
d'armáil	ˈ d̪ˠ a ɾˠ ə mˠ a lʲ
m'armáil	ˈ mˠ a ɾˠ ə mˠ a lʲ
n-arsa	ˈ n̻ˠ e ɾˠ sˠ ə
n-atá	n̻ˠ ə ˈ t̪ˠ aː
d'atá	d̪ˠ ə ˈ t̪ˠ aː
t-athair	ˈ t̪ˠ a h ə ɾʲ
b'athair	ˈ bˠ a h ə ɾʲ
n-athair	ˈ n̻ˠ a h ə ɾʲ
d'athair	ˈ d̪ˠ a h ə ɾʲ
m'athair	ˈ mˠ a h ə ɾʲ
b'athar	bˠ a h ə ɾˠ
n-athar	n̻ˠ a h ə ɾˠ
d'athar	d̪ˠ a h ə ɾˠ
m'athar	mˠ a h ə ɾˠ
t-áthas	ˈ t̪ˠ aː h ə sˠ
b'áthas	ˈ bˠ aː h ə sˠ
n-áthas	ˈ n̻ˠ aː h ə sˠ
d'áthas	ˈ d̪ˠ aː h ə sˠ
m'áthas	ˈ mˠ aː h ə sˠ
t-aturnae	ˈ t̪ˠ a t̪ˠ u ɾˠ n̻ˠ eː
b'aturnae	ˈ bˠ a t̪ˠ u ɾˠ n̻ˠ eː
n-aturnae	ˈ n̻ˠ a t̪ˠ u ɾˠ n̻ˠ eː
d'aturnae	ˈ d̪ˠ a t̪ˠ u ɾˠ n̻ˠ eː
m'aturnae	ˈ mˠ a t̪ˠ u ɾˠ n̻ˠ eː
b'éadaigh	ˈ bʲ eː d̪ˠ iː
n-éadaigh	ˈ nʲ eː d̪ˠ iː
d'éadaigh	ˈ dʲ eː d̪ˠ iː
m'éadaigh	ˈ mʲ eː d̪ˠ iː
b'éadain	ˈ bʲ eː d̪ˠ ə n̻ʲ
n-éadain	ˈ nʲ eː d̪ˠ ə n̻ʲ
d'éadain	ˈ dʲ eː d̪ˠ ə n̻ʲ
m'éadain	ˈ mʲ eː d̪ˠ ə n̻ʲ
t-éad	ˈ tʲ eː d̪ˠ
b'éad	ˈ bʲ eː d̪ˠ
n-éad	ˈ nʲ eː d̪ˠ
d'éad	ˈ dʲ eː d̪ˠ
m'éad	ˈ mʲ eː d̪ˠ
b'eagal	ˈ bʲ o ɡ ə l̻ˠ
n-eagal	ˈ nʲ o ɡ ə l̻ˠ
b'eagla	ˈ bʲ o ɡ l̻ˠ ə
n-eagla	ˈ nʲ o ɡ l̻ˠ ə
d'eagla	ˈ dʲ o ɡ l̻ˠ ə
m'eagla	ˈ mʲ o ɡ l̻ˠ ə
b'éagóir	ˈ bʲ eː ɡ o ɾʲ
n-éagóir	ˈ nʲ eː ɡ o ɾʲ
d'éagóir	ˈ dʲ eː ɡ o ɾʲ
m'éagóir	ˈ mʲ eː ɡ o ɾʲ
b'éagóra	bʲ eː ɡ oː ɾˠ ə
n-éagóra	nʲ eː ɡ oː ɾˠ ə
d'éagóra	dʲ eː ɡ oː ɾˠ ə
m'éagóra	mʲ eː ɡ oː ɾˠ ə
t-éalú	ˈ tʲ eː l̻ˠ uː
b'éalú	ˈ bʲ eː l̻ˠ uː
n-éalú	ˈ nʲ eː l̻ˠ uː
d'éalú	ˈ dʲ eː l̻ˠ uː
m'éalú	ˈ mʲ eː l̻ˠ uː
t-easaontas	ˈ tʲ a ˈ sˠ iː n̻ˠ t̪ˠ ə sˠ
b'easaontas	ˈ bʲ a ˈ sˠ iː n̻ˠ t̪ˠ ə sˠ
n-easaontas	ˈ nʲ a ˈ sˠ iː n̻ˠ t̪ˠ ə sˠ
d'easaontas	ˈ dʲ a ˈ sˠ iː n̻ˠ t̪ˠ ə sˠ
m'easaontas	ˈ mʲ a ˈ sˠ iː n̻ˠ t̪ˠ ə sˠ
n-é	ˈ nʲ eː
t-éigean	ˈ tʲ eː ɟ ə n̻ˠ
mb'éigean	ˈ mʲ eː ɟ ə n̻ˠ
b'éigean	ˈ bʲ eː ɟ ə n̻ˠ
n-éigean	ˈ nʲ eː ɟ ə n̻ˠ
d'éigean	ˈ dʲ eː ɟ ə n̻ˠ
m'éigean	ˈ mʲ eː ɟ ə n̻ˠ
b'éigin	ˈ bʲ eː ɟ ə nʲ
n-éigin	ˈ nʲ eː ɟ ə nʲ
d'éigin	ˈ dʲ eː ɟ ə nʲ
m'éigin	ˈ mʲ eː ɟ ə nʲ
t-éileamh	ˈ tʲ eː lʲ uː
b'éileamh	ˈ bʲ eː lʲ uː
n-éileamh	ˈ nʲ eː lʲ uː
d'éileamh	ˈ dʲ eː lʲ uː
m'éileamh	ˈ mʲ eː lʲ uː
b'eile	ˈ bʲ e lʲ ə
n-eile	ˈ nʲ e lʲ ə
b'éirim	ˈ bʲ eː ɾʲ ə mʲ
n-éirim	ˈ nʲ eː ɾʲ ə mʲ
d'éirim	ˈ dʲ eː ɾʲ ə mʲ
m'éirim	ˈ mʲ eː ɾʲ ə mʲ
b'Éirinn	ˈ bʲ eː ɾʲ ə n̻ʲ
nÉirinn	ˈ nʲ eː ɾʲ ə n̻ʲ
d'Éirinn	ˈ dʲ eː ɾʲ ə n̻ʲ
m'Éirinn	ˈ mʲ eː ɾʲ ə n̻ʲ
b'éis	ˈ bʲ eː ʃ
n-éis	ˈ nʲ eː ʃ
d'éis	ˈ dʲ eː ʃ
m'éis	ˈ mʲ eː ʃ
b'éisteacht	ˈ bʲ eː ʃ tʲ a x t̪ˠ
n-éisteacht	ˈ nʲ eː ʃ tʲ a x t̪ˠ
d'éisteacht	ˈ dʲ eː ʃ tʲ a x t̪ˠ
m'éisteacht	ˈ mʲ eː ʃ tʲ a x t̪ˠ
t-eolas	ˈ tʲ oː l̻ˠ ə sˠ
b'eolas	ˈ bʲ oː l̻ˠ ə sˠ
n-eolas	ˈ nʲ oː l̻ˠ ə sˠ
d'eolas	ˈ dʲ oː l̻ˠ ə sˠ
m'eolas	ˈ mʲ oː l̻ˠ ə sˠ
b'fhada	ˈ bˠ a d̪ˠ ə
d'fhág	ˈ d̪ˠ aː ɡ
b'fhaid	bˠ a dʲ
d'fhaid	d̪ˠ a dʲ
m'fhaid	mˠ a dʲ
b'fhairsing	bˠ a ɾˠ ʃ i ɲ
d'fhanadh	d̪ˠ a n̻ˠ uː
d'fhan	ˈ d̪ˠ a n̻ˠ
b'fhéachaint	bʲ eː h ə nʲ tʲ
d'fhéachaint	dʲ eː h ə nʲ tʲ
m'fhéachaint	mʲ eː h ə nʲ tʲ
d'fhéach	ˈ dʲ eː h
d'fhéadadh	dʲ eː d̪ˠ uː
d'fhéadaidís	dʲ eː d̪ˠ ə dʲ iː ʃ
d'fhéadainn	dʲ eː d̪ˠ ə n̻ʲ
d'fhéad	dʲ eː d̪ˠ
d'fhéadfadh	dʲ eː t̪ˠ uː
d'fhéadfainn	dʲ eː t̪ˠ ə n̻ʲ
b'fhear	ˈ bʲ a ɾˠ
d'fhear	ˈ dʲ a ɾˠ
m'fhear	ˈ mʲ a ɾˠ
mb'fhearr	mʲ a ɾˠ
b'fhearr	bʲ a ɾˠ
mb'fhéidir	mʲ eː dʲ i ɾʲ
b'fhéidir	bʲ eː dʲ i ɾʲ
d'fhéidir	dʲ eː dʲ i ɾʲ
m'fhéidir	mʲ eː dʲ i ɾʲ
b'fhéir	ˈ bʲ eː ɾʲ
d'fhéir	ˈ dʲ eː ɾʲ
m'fhéir	ˈ mʲ eː ɾʲ
b'fheirm	bʲ e ɾʲ ə mʲ
d'fheirm	dʲ e ɾʲ ə mʲ
m'fheirm	mʲ e ɾʲ ə mʲ
b'fheoil	bʲ oː lʲ
d'fheoil	dʲ oː lʲ
m'fheoil	mʲ oː lʲ
b'fhios	ˈ bʲ i sˠ
d'fhios	ˈ dʲ i sˠ
m'fhios	ˈ mʲ i sˠ
b'fhir	bʲ i ɾʲ
d'fhir	dʲ i ɾʲ
m'fhir	mʲ i ɾʲ
mb'fhiú	mʲ uː
b'fhiú	bʲ uː
d'fhiú	dʲ uː
m'fhiú	mʲ uː
b'fhocal	ˈ bˠ o k ə l̻ˠ
d'fhocal	ˈ d̪ˠ o k ə l̻ˠ
m'fhocal	ˈ mˠ o k ə l̻ˠ
b'fholáir	bˠ a l̻ˠ a ɾʲ
b'fhonn	bˠ o n̻ˠ
d'fhonn	d̪ˠ o n̻ˠ
m'fhonn	mˠ o n̻ˠ
b'fhuachta	bˠ ua h t̪ˠ ə
d'fhuachta	d̪ˠ ua h t̪ˠ ə
m'fhuachta	mˠ ua h t̪ˠ ə
b'fhuacht	ˈ bˠ ia x t̪ˠ
d'fhuacht	ˈ d̪ˠ ia x t̪ˠ
m'fhuacht	ˈ mˠ ia x t̪ˠ
b'iarainn	bʲ ia ɾˠ ə n̻ʲ
n-iarainn	nʲ ia ɾˠ ə n̻ʲ
d'iarainn	dʲ ia ɾˠ ə n̻ʲ
m'iarainn	mʲ ia ɾˠ ə n̻ʲ
b'iarracht	ˈ bʲ ia ɾˠ a x t̪ˠ
n-iarracht	ˈ nʲ ia ɾˠ a x t̪ˠ
d'iarracht	ˈ dʲ ia ɾˠ a x t̪ˠ
m'iarracht	ˈ mʲ ia ɾˠ a x t̪ˠ
b'iarraidh	ˈ bʲ ia ɾˠ iː
n-iarraidh	ˈ nʲ ia ɾˠ iː
d'iarraidh	ˈ dʲ ia ɾˠ iː
m'iarraidh	ˈ mʲ ia ɾˠ iː
b'iasachta	bʲ ia sˠ ə ɾˠ t̪ˠ ə
n-iasachta	nʲ ia sˠ ə ɾˠ t̪ˠ ə
d'iasachta	dʲ ia sˠ ə ɾˠ t̪ˠ ə
m'iasachta	mʲ ia sˠ ə ɾˠ t̪ˠ ə
t-imeacht	ˈ tʲ i mʲ a x t̪ˠ
b'imeacht	ˈ bʲ i mʲ a x t̪ˠ
n-imeacht	ˈ nʲ i mʲ a x t̪ˠ
d'imeacht	ˈ dʲ i mʲ a x t̪ˠ
m'imeacht	ˈ mʲ i mʲ a x t̪ˠ
b'ime	bʲ i mʲ ə
n-ime	nʲ i mʲ ə
d'ime	dʲ i mʲ ə
m'ime	mʲ i mʲ ə
b'imigéiniúla	bʲ i mʲ i ɟ eː nʲ uː l̻ˠ ə
n-imigéiniúla	nʲ i mʲ i ɟ eː nʲ uː l̻ˠ ə
t-im	ˈ tʲ i mʲ
b'im	ˈ bʲ i mʲ
n-im	ˈ nʲ i mʲ
d'im	ˈ dʲ i mʲ
m'im	ˈ mʲ i mʲ
t-iniúchadh	ˈ tʲ i nʲ u h uː
b'iniúchadh	ˈ bʲ i nʲ u h uː
n-iniúchadh	ˈ nʲ i nʲ u h uː
d'iniúchadh	ˈ dʲ i nʲ u h uː
m'iniúchadh	ˈ mʲ i nʲ u h uː
b'iomarca	ˈ bʲ i mˠ ə ɾˠ k ə
n-iomarca	ˈ nʲ i mˠ ə ɾˠ k ə
d'iomarca	ˈ dʲ i mˠ ə ɾˠ k ə
m'iomarca	ˈ mʲ i mˠ ə ɾˠ k ə
t-ionam	ˈ tʲ i n̻ˠ ə mˠ
b'ionam	ˈ bʲ i n̻ˠ ə mˠ
n-ionam	ˈ nʲ i n̻ˠ ə mˠ
d'ionam	ˈ dʲ i n̻ˠ ə mˠ
m'ionam	ˈ mʲ i n̻ˠ ə mˠ
b'iothlainn	ˈ bʲ i h l̻ˠ ə n̻ʲ
n-iothlainn	ˈ nʲ i h l̻ˠ ə n̻ʲ
d'iothlainn	ˈ dʲ i h l̻ˠ ə n̻ʲ
m'iothlainn	ˈ mʲ i h l̻ˠ ə n̻ʲ
t-íseal	tʲ iː ʃ ə l̻ˠ
b'íseal	bʲ iː ʃ ə l̻ˠ
n-íseal	nʲ iː ʃ ə l̻ˠ
d'íseal	dʲ iː ʃ ə l̻ˠ
m'íseal	mʲ iː ʃ ə l̻ˠ
t-ithe	ˈ tʲ i hʲ ə
b'ithe	ˈ bʲ i hʲ ə
n-ithe	ˈ nʲ i hʲ ə
d'ithe	ˈ dʲ i hʲ ə
m'ithe	ˈ mʲ i hʲ ə
n-ith	nʲ i hʲ
d'ith	dʲ i hʲ
b'obair	ˈ bˠ o bˠ i ɾʲ
n-obair	ˈ n̻ˠ o bˠ i ɾʲ
d'obair	ˈ d̪ˠ o bˠ i ɾʲ
m'obair	ˈ mˠ o bˠ i ɾʲ
t-ochtar	ˈ t̪ˠ a x t̪ˠ ə ɾˠ
b'ochtar	ˈ bˠ a x t̪ˠ ə ɾˠ
n-ochtar	ˈ n̻ˠ a x t̪ˠ ə ɾˠ
d'ochtar	ˈ d̪ˠ a x t̪ˠ ə ɾˠ
m'ochtar	ˈ mˠ a x t̪ˠ ə ɾˠ
t-ocht	ˈ t̪ˠ a x t̪ˠ
b'ocht	ˈ bˠ a x t̪ˠ
n-ocht	ˈ n̻ˠ a x t̪ˠ
d'ocht	ˈ d̪ˠ a x t̪ˠ
m'ocht	ˈ mˠ a x t̪ˠ
b'ocrais	bˠ o k ɾˠ ə ʃ
n-ocrais	n̻ˠ o k ɾˠ ə ʃ
d'ocrais	d̪ˠ o k ɾˠ ə ʃ
m'ocrais	mˠ o k ɾˠ ə ʃ
t-ocras	ˈ t̪ˠ o k ɾˠ ə sˠ
b'ocras	ˈ bˠ o k ɾˠ ə sˠ
n-ocras	ˈ n̻ˠ o k ɾˠ ə sˠ
d'ocras	ˈ d̪ˠ o k ɾˠ ə sˠ
m'ocras	ˈ mˠ o k ɾˠ ə sˠ
b'óga	ˈ bˠ oː ɡ ə
n-óga	ˈ n̻ˠ oː ɡ ə
d'óga	ˈ d̪ˠ oː ɡ ə
m'óga	ˈ mˠ oː ɡ ə
t-óg	ˈ t̪ˠ oː ɡ
b'óg	ˈ bˠ oː ɡ
n-óg	ˈ n̻ˠ oː ɡ
d'óg	ˈ d̪ˠ oː ɡ
m'óg	ˈ mˠ oː ɡ
b'oibre	ˈ bˠ i bʲ ɾʲ ə
n-oibre	ˈ n̻ˠ i bʲ ɾʲ ə
d'oibre	ˈ d̪ˠ i bʲ ɾʲ ə
m'oibre	ˈ mˠ i bʲ ɾʲ ə
b'oilte	ˈ bˠ o l̻ʲ tʲ ə
n-oilte	ˈ n̻ˠ o l̻ʲ tʲ ə
b'oiread	ˈ bˠ e ɾʲ ə d̪ˠ
n-oiread	ˈ n̻ˠ e ɾʲ ə d̪ˠ
d'oiread	ˈ d̪ˠ e ɾʲ ə d̪ˠ
m'oiread	ˈ mˠ e ɾʲ ə d̪ˠ
t-olc	ˈ t̪ˠ o l̻ˠ k
b'olc	ˈ bˠ o l̻ˠ k
n-olc	ˈ n̻ˠ o l̻ˠ k
d'olc	ˈ d̪ˠ o l̻ˠ k
m'olc	ˈ mˠ o l̻ˠ k
t-ollamh	ˈ t̪ˠ o l̻ˠ uː
b'ollamh	ˈ bˠ o l̻ˠ uː
n-ollamh	ˈ n̻ˠ o l̻ˠ uː
d'ollamh	ˈ d̪ˠ o l̻ˠ uː
m'ollamh	ˈ mˠ o l̻ˠ uː
t-ó	ˈ t̪ˠ oː
b'ó	ˈ bˠ oː
n-ó	ˈ n̻ˠ oː
d'ó	ˈ d̪ˠ oː
m'ó	ˈ mˠ oː
t-ord	ˈ t̪ˠ oː ɾˠ d̪ˠ
b'ord	ˈ bˠ oː ɾˠ d̪ˠ
n-ord	ˈ n̻ˠ oː ɾˠ d̪ˠ
d'ord	ˈ d̪ˠ oː ɾˠ d̪ˠ
m'ord	ˈ mˠ oː ɾˠ d̪ˠ
b'ortha	ˈ bˠ o ɾˠ h ə
n-ortha	ˈ n̻ˠ o ɾˠ h ə
d'ortha	ˈ d̪ˠ o ɾˠ h ə
m'ortha	ˈ mˠ o ɾˠ h ə
n-oscail	ˈ n̻ˠ o sˠ k ə lʲ
d'oscail	ˈ d̪ˠ o sˠ k ə lʲ
b'oscailt	ˈ bˠ o sˠ k ə l̻ʲ tʲ
n-oscailt	ˈ n̻ˠ o sˠ k ə l̻ʲ tʲ
d'oscailt	ˈ d̪ˠ o sˠ k ə l̻ʲ tʲ
m'oscailt	ˈ mˠ o sˠ k ə l̻ʲ tʲ
b'uachtarach	ˈ bˠ ua x t̪ˠ ə ɾˠ a h
n-uachtarach	ˈ n̻ˠ ua x t̪ˠ ə ɾˠ a h
b'uaigneacha	bˠ ua ɟ nʲ a h ə
n-uaigneacha	n̻ˠ ua ɟ nʲ a h ə
b'uaim	ˈ bˠ ua mʲ
n-uaim	ˈ n̻ˠ ua mʲ
d'uaim	ˈ d̪ˠ ua mʲ
m'uaim	ˈ mˠ ua mʲ
b'uain	ˈ bˠ ua nʲ
n-uain	ˈ n̻ˠ ua nʲ
d'uain	ˈ d̪ˠ ua nʲ
m'uain	ˈ mˠ ua nʲ
b'uaireanta	bˠ ua ɾʲ ə n̻ˠ t̪ˠ ə
n-uaireanta	n̻ˠ ua ɾʲ ə n̻ˠ t̪ˠ ə
d'uaireanta	d̪ˠ ua ɾʲ ə n̻ˠ t̪ˠ ə
m'uaireanta	mˠ ua ɾʲ ə n̻ˠ t̪ˠ ə
b'uair	ˈ bˠ ua ɾʲ
n-uair	ˈ n̻ˠ ua ɾʲ
d'uair	ˈ d̪ˠ ua ɾʲ
